district,year,national_severity_weight,basin_exposure_weight,erosion_weight,proxy_peak_exceedance_score,proxy_days_above_danger_score,proxy_percent_area_flooded_score,FDI_proxy_0_1,floodplain_context,rank_in_year,Latitude,Longitude
Noakhali,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.82,91.1
Bogura,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.85,89.37
Pabna,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.0064,89.2493
Sirajganj,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.45,89.71
Gaibandha,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Teesta sub-basin,1,25.33,89.55
Kurigram,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Teesta sub-basin,1,25.81,89.65
Barishal,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.7,90.37
Bhola,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.69,90.65
Jamalpur,1999,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.923,89.9501
Chattogram,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,22.35,91.83
Cox's Bazar,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,21.4272,92.0058
Feni,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,23.02,91.4
Bagerhat,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.65,89.7667
Khulna,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.8167,89.55
Satkhira,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.7234,89.0751
Barguna,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.15,90.13
Patuakhali,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.35,90.3
Pirojpur,1999,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.58,89.98
Kishoreganj,1999,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.44,90.77
Habiganj,1999,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.38,91.42
Moulvibazar,1999,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.48,91.77
Sunamganj,1999,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,25.07,91.4
Sylhet,1999,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.899,91.872
Netrokona,1999,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.88,90.73
Khagrachhari,1999,0.25,0.65,0.55,0.176,0.189,0.198,0.221,Hill & flash-flood,31,23.1,91.98
Rangamati,1999,0.25,0.65,0.55,0.176,0.189,0.198,0.221,Hill & flash-flood,31,22.65,92.17
Dhaka,1999,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.8103,90.4125
Faridpur,1999,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.607,89.8429
Gopalganj,1999,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.02,89.83
Madaripur,1999,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.17,90.19
Munshiganj,1999,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.54,90.53
Narayanganj,1999,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.6226,90.501
Shariatpur,1999,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.22,90.35
Dinajpur,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.625,88.65
Lalmonirhat,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.92,89.45
Nilphamari,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.95,88.85
Rangpur,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.7449,89.2756
Chuadanga,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.63,88.83
Jashore,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.17,89.2
Jhenaidah,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.55,89.15
Kushtia,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.9,89.12
Magura,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.49,89.42
Meherpur,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.77,88.63
Narail,1999,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.18,89.5
Gazipur,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.0,90.4167
Narsingdi,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,23.9207,90.7188
Brahmanbaria,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,23.96,91.11
Cumilla,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,23.46,91.18
Joypurhat,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,25.1,89.02
Naogaon,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.81,88.94
Natore,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.42,89.0
Rajshahi,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.3745,88.6042
Panchagarh,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,26.33,88.56
Thakurgaon,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,26.02,88.46
Mymensingh,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.7434,90.3984
Sherpur,1999,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,25.0188,90.0175
Manikganj,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain + Padma-Ganges system,1,23.86,90.0
Rajbari,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain + Padma-Ganges system,1,23.72,89.65
Tangail,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain,1,24.25,89.9167
Chandpur,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Lower Meghna & estuary,1,23.23,90.65
Lakshmipur,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Lower Meghna & estuary + Coastal & estuary,1,22.95,90.83
Noakhali,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Lower Meghna & estuary + Coastal & estuary,1,22.82,91.1
Bogura,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain,1,24.85,89.37
Pabna,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain,1,24.0064,89.2493
Sirajganj,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain,1,24.45,89.71
Gaibandha,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain + Teesta sub-basin,1,25.33,89.55
Kurigram,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain + Teesta sub-basin,1,25.81,89.65
Barishal,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Lower Meghna & estuary + Coastal & estuary,1,22.7,90.37
Bhola,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Lower Meghna & estuary + Coastal & estuary,1,22.69,90.65
Jamalpur,2000,0.6,1.0,0.9,0.6,0.6,0.6,0.63,Jamuna braidplain,1,24.923,89.9501
Chattogram,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary + Hill & flash-flood,15,22.35,91.83
Cox's Bazar,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary + Hill & flash-flood,15,21.4272,92.0058
Feni,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary + Hill & flash-flood,15,23.02,91.4
Bagerhat,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary,15,22.65,89.7667
Khulna,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary,15,22.8167,89.55
Satkhira,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary,15,22.7234,89.0751
Barguna,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary,15,22.15,90.13
Patuakhali,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary,15,22.35,90.3
Pirojpur,2000,0.6,1.0,0.75,0.6,0.6,0.6,0.615,Coastal & estuary,15,22.58,89.98
Kishoreganj,2000,0.6,1.0,0.45,0.6,0.6,0.6,0.585,Haor (Surma-Kushiyara),25,24.44,90.77
Habiganj,2000,0.6,1.0,0.45,0.6,0.6,0.6,0.585,Haor (Surma-Kushiyara),25,24.38,91.42
Moulvibazar,2000,0.6,1.0,0.45,0.6,0.6,0.6,0.585,Haor (Surma-Kushiyara),25,24.48,91.77
Sunamganj,2000,0.6,1.0,0.45,0.6,0.6,0.6,0.585,Haor (Surma-Kushiyara),25,25.07,91.4
Sylhet,2000,0.6,1.0,0.45,0.6,0.6,0.6,0.585,Haor (Surma-Kushiyara),25,24.899,91.872
Netrokona,2000,0.6,1.0,0.45,0.6,0.6,0.6,0.585,Haor (Surma-Kushiyara),25,24.88,90.73
Khagrachhari,2000,0.6,0.65,0.55,0.421,0.453,0.474,0.454,Hill & flash-flood,31,23.1,91.98
Rangamati,2000,0.6,0.65,0.55,0.421,0.453,0.474,0.454,Hill & flash-flood,31,22.65,92.17
Dinajpur,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Teesta sub-basin,33,25.625,88.65
Lalmonirhat,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Teesta sub-basin,33,25.92,89.45
Nilphamari,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Teesta sub-basin,33,25.95,88.85
Rangpur,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Teesta sub-basin,33,25.7449,89.2756
Chuadanga,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Ganges west/Upper Padma,33,23.63,88.83
Jashore,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Ganges west/Upper Padma,33,23.17,89.2
Jhenaidah,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Ganges west/Upper Padma,33,23.55,89.15
Kushtia,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Ganges west/Upper Padma,33,23.9,89.12
Magura,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Ganges west/Upper Padma,33,23.49,89.42
Meherpur,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Ganges west/Upper Padma,33,23.77,88.63
Narail,2000,0.6,0.65,0.45,0.421,0.453,0.474,0.444,Ganges west/Upper Padma,33,23.18,89.5
Dhaka,2000,0.6,0.4,0.9,0.294,0.348,0.384,0.389,Padma-Ganges system,44,23.8103,90.4125
Faridpur,2000,0.6,0.4,0.9,0.294,0.348,0.384,0.389,Padma-Ganges system,44,23.607,89.8429
Gopalganj,2000,0.6,0.4,0.9,0.294,0.348,0.384,0.389,Padma-Ganges system,44,23.02,89.83
Madaripur,2000,0.6,0.4,0.9,0.294,0.348,0.384,0.389,Padma-Ganges system,44,23.17,90.19
Munshiganj,2000,0.6,0.4,0.9,0.294,0.348,0.384,0.389,Padma-Ganges system,44,23.54,90.53
Narayanganj,2000,0.6,0.4,0.9,0.294,0.348,0.384,0.389,Padma-Ganges system,44,23.6226,90.501
Shariatpur,2000,0.6,0.4,0.9,0.294,0.348,0.384,0.389,Padma-Ganges system,44,23.22,90.35
Gazipur,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,24.0,90.4167
Narsingdi,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,23.9207,90.7188
Brahmanbaria,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,23.96,91.11
Cumilla,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,23.46,91.18
Joypurhat,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,25.1,89.02
Naogaon,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,24.81,88.94
Natore,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,24.42,89.0
Rajshahi,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,24.3745,88.6042
Panchagarh,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,26.33,88.56
Thakurgaon,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,26.02,88.46
Mymensingh,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,24.7434,90.3984
Sherpur,2000,0.6,0.4,0.45,0.294,0.348,0.384,0.344,Inland/less flood-prone,51,25.0188,90.0175
Manikganj,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Padma-Ganges system,1,23.86,90.0
Rajbari,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Padma-Ganges system,1,23.72,89.65
Tangail,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.25,89.9167
Chandpur,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary,1,23.23,90.65
Lakshmipur,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.95,90.83
Noakhali,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.82,91.1
Bogura,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.85,89.37
Pabna,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.0064,89.2493
Sirajganj,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.45,89.71
Gaibandha,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Teesta sub-basin,1,25.33,89.55
Kurigram,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Teesta sub-basin,1,25.81,89.65
Barishal,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.7,90.37
Bhola,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.69,90.65
Jamalpur,2001,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.923,89.9501
Chattogram,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,22.35,91.83
Cox's Bazar,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,21.4272,92.0058
Feni,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,23.02,91.4
Bagerhat,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.65,89.7667
Khulna,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.8167,89.55
Satkhira,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.7234,89.0751
Barguna,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.15,90.13
Patuakhali,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.35,90.3
Pirojpur,2001,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.58,89.98
Kishoreganj,2001,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.44,90.77
Habiganj,2001,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.38,91.42
Moulvibazar,2001,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.48,91.77
Sunamganj,2001,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,25.07,91.4
Sylhet,2001,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.899,91.872
Netrokona,2001,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.88,90.73
Khagrachhari,2001,0.25,0.65,0.55,0.176,0.189,0.198,0.221,Hill & flash-flood,31,23.1,91.98
Rangamati,2001,0.25,0.65,0.55,0.176,0.189,0.198,0.221,Hill & flash-flood,31,22.65,92.17
Dhaka,2001,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.8103,90.4125
Faridpur,2001,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.607,89.8429
Gopalganj,2001,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.02,89.83
Madaripur,2001,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.17,90.19
Munshiganj,2001,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.54,90.53
Narayanganj,2001,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.6226,90.501
Shariatpur,2001,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.22,90.35
Dinajpur,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.625,88.65
Lalmonirhat,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.92,89.45
Nilphamari,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.95,88.85
Rangpur,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.7449,89.2756
Chuadanga,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.63,88.83
Jashore,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.17,89.2
Jhenaidah,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.55,89.15
Kushtia,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.9,89.12
Magura,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.49,89.42
Meherpur,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.77,88.63
Narail,2001,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.18,89.5
Gazipur,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.0,90.4167
Narsingdi,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,23.9207,90.7188
Brahmanbaria,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,23.96,91.11
Cumilla,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,23.46,91.18
Joypurhat,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,25.1,89.02
Naogaon,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.81,88.94
Natore,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.42,89.0
Rajshahi,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.3745,88.6042
Panchagarh,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,26.33,88.56
Thakurgaon,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,26.02,88.46
Mymensingh,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.7434,90.3984
Sherpur,2001,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,25.0188,90.0175
Manikganj,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Padma-Ganges system,1,23.86,90.0
Rajbari,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Padma-Ganges system,1,23.72,89.65
Tangail,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.25,89.9167
Chandpur,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary,1,23.23,90.65
Lakshmipur,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.95,90.83
Noakhali,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.82,91.1
Bogura,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.85,89.37
Pabna,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.0064,89.2493
Sirajganj,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.45,89.71
Gaibandha,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Teesta sub-basin,1,25.33,89.55
Kurigram,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain + Teesta sub-basin,1,25.81,89.65
Barishal,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.7,90.37
Bhola,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Lower Meghna & estuary + Coastal & estuary,1,22.69,90.65
Jamalpur,2002,0.25,1.0,0.9,0.25,0.25,0.25,0.315,Jamuna braidplain,1,24.923,89.9501
Chattogram,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,22.35,91.83
Cox's Bazar,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,21.4272,92.0058
Feni,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary + Hill & flash-flood,15,23.02,91.4
Bagerhat,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.65,89.7667
Khulna,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.8167,89.55
Satkhira,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.7234,89.0751
Barguna,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.15,90.13
Patuakhali,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.35,90.3
Pirojpur,2002,0.25,1.0,0.75,0.25,0.25,0.25,0.3,Coastal & estuary,15,22.58,89.98
Kishoreganj,2002,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.44,90.77
Habiganj,2002,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.38,91.42
Moulvibazar,2002,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.48,91.77
Sunamganj,2002,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,25.07,91.4
Sylhet,2002,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.899,91.872
Netrokona,2002,0.25,1.0,0.45,0.25,0.25,0.25,0.27,Haor (Surma-Kushiyara),25,24.88,90.73
Khagrachhari,2002,0.25,0.65,0.55,0.176,0.189,0.198,0.221,Hill & flash-flood,31,23.1,91.98
Rangamati,2002,0.25,0.65,0.55,0.176,0.189,0.198,0.221,Hill & flash-flood,31,22.65,92.17
Dhaka,2002,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.8103,90.4125
Faridpur,2002,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.607,89.8429
Gopalganj,2002,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.02,89.83
Madaripur,2002,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.17,90.19
Munshiganj,2002,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.54,90.53
Narayanganj,2002,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.6226,90.501
Shariatpur,2002,0.25,0.4,0.9,0.122,0.145,0.16,0.215,Padma-Ganges system,33,23.22,90.35
Dinajpur,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.625,88.65
Lalmonirhat,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.92,89.45
Nilphamari,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.95,88.85
Rangpur,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Teesta sub-basin,40,25.7449,89.2756
Chuadanga,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.63,88.83
Jashore,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.17,89.2
Jhenaidah,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.55,89.15
Kushtia,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.9,89.12
Magura,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.49,89.42
Meherpur,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.77,88.63
Narail,2002,0.25,0.65,0.45,0.176,0.189,0.198,0.211,Ganges west/Upper Padma,40,23.18,89.5
Gazipur,2002,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,24.0,90.4167
Narsingdi,2002,0.25,0.4,0.45,0.122,0.145,0.16,0.17,Inland/less flood-prone,51,23.9207,90.7188
