district,decade,cyclone_count,avg_max_wind_kph,strongest_category,avg_damage_usd_million,avg_fatalities,population_affected_percent,exposure_index,coastal_flag,Latitude,Longitude,predicted_dist_coast,norm_cyclone_count,norm_wind,norm_damage,norm_fatalities,norm_pop_pct,norm_exposure,norm_coastal_fl,proximity_score,CVI_0_1,CVI,CVI_Class,Place
Narsingdi,1980s,2,104,Tropical Storm,14.6,4,23.99,0.25,0,23.9207,90.7188,26.18641527044252,0.18181818181818182,0.19333333333333336,0.05230769230769231,0.1,0.23989999999999997,0.25,0,0.9056040932964216,0.23116929044852327,23.12,Low,Narsingdi
Natore,1980s,2,112,Tropical Storm,10.5,0,31.23,0.25,0,24.42,89.0,155.1596382078644,0.18181818181818182,0.2466666666666667,0.03428571428571429,0.0,0.3123,0.25,0,0.4406857685113368,0.1822141612667181,18.22,Low,Natore
Netrokona,1980s,2,117,Tropical Storm,16.5,0,15.24,0.25,0,24.88,90.73,128.35689341795188,0.18181818181818182,0.28,0.060659340659340664,0.0,0.1524,0.25,0,0.5373033990827185,0.18484196827990024,18.48,Low,Netrokona
Nilphamari,1980s,3,130,Category 1,13.8,2,60.19,0.25,0,25.95,88.85,294.2392506393151,0.2727272727272727,0.3666666666666667,0.048791208791208796,0.05,0.6019,0.25,0,0.0,0.20841777222777222,20.84,Low,Nilphamari
Noakhali,1980s,8,194,Category 3,19.2,2,60.13,0.9,1,22.82,91.1,3.4856477682025,0.7272727272727273,0.7933333333333334,0.07252747252747252,0.05,0.6013000000000001,0.9,1,0.9874350544688655,0.5903435354169165,59.03,High,Noakhali
Pabna,1980s,3,111,Tropical Storm,22.5,3,4.05,0.25,0,24.0064,89.2493,104.88417821369146,0.2727272727272727,0.2400000000000001,0.08703296703296703,0.07500000000000001,0.0405,0.25,0,0.6219170512996373,0.2049557410939997,20.5,Low,Pabna
Panchagarh,1980s,1,75,Tropical Storm,7.1,1,27.33,0.25,0,26.33,88.56,344.84409227917126,0.09090909090909091,0.0,0.019340659340659337,0.025,0.2733,0.25,0,0.0,0.08511746253746252,8.51,Low,Panchagarh
Patuakhali,1980s,5,191,Category 3,62.1,2,50.89,0.9,1,22.35,90.3,2.1604315335758786,0.4545454545454546,0.7733333333333334,0.2610989010989011,0.05,0.5089,0.9,1,0.9922121492622518,0.5659578682728785,56.6,High,Patuakhali
Pirojpur,1980s,2,178,Category 3,32.6,4,58.06,0.9,1,22.58,89.98,2.5668801960927214,0.18181818181818182,0.6866666666666668,0.13142857142857142,0.1,0.5806,0.9,1,0.9907469968299507,0.507121712670008,50.71,High,Pirojpur
Rajbari,1980s,5,122,Category 1,32.1,1,19.59,0.6,1,23.72,89.65,53.227720010614995,0.4545454545454546,0.31333333333333335,0.12923076923076923,0.025,0.1959,0.6,1,0.808126509861107,0.3787190845525443,37.87,Medium,Rajbari
Rajshahi,1980s,3,126,Category 1,7.5,1,9.86,0.25,0,24.3745,88.6042,191.61681259532386,0.2727272727272727,0.3400000000000001,0.0210989010989011,0.025,0.0986,0.25,0,0.3092661756952424,0.17711054364345033,17.71,Low,Rajshahi
Rangamati,1980s,1,133,Category 1,17.0,5,46.86,0.5,0,22.65,92.17,23.00520212531517,0.09090909090909091,0.3866666666666667,0.06285714285714286,0.125,0.4686,0.5,0,0.9170716231644975,0.31338209738138484,31.34,Medium,Rangamati
Rangpur,1980s,0,115,Tropical Storm,13.8,0,23.29,0.25,0,25.7449,89.2756,254.71903611590815,0.0,0.2666666666666667,0.048791208791208796,0.0,0.2329,0.25,0,0.08179740829351134,0.11628842214803245,11.63,Low,Rangpur
Satkhira,1980s,3,178,Category 3,28.6,5,76.22,0.9,1,22.7234,89.0751,49.7815374736277,0.2727272727272727,0.6866666666666668,0.11384615384615385,0.125,0.7622,0.9,1,0.8205491924576112,0.523010933231775,52.3,High,Satkhira
Shariatpur,1980s,2,143,Category 1,15.4,10,35.46,0.6,1,23.22,90.35,5.633963162020451,0.18181818181818182,0.45333333333333337,0.05582417582417582,0.25,0.3546,0.6,1,0.9796908795831338,0.414575441604667,41.46,Medium,Shariatpur
Sherpur,1980s,0,109,Tropical Storm,12.3,2,19.71,0.25,0,25.0188,90.0175,152.90685141280642,0.0,0.22666666666666668,0.0421978021978022,0.05,0.1971,0.25,0,0.44880653838125384,0.14992032416779572,14.99,Low,Sherpur
Sirajganj,1980s,4,88,Tropical Storm,22.9,1,23.52,0.25,0,24.45,89.71,110.26885916963853,0.36363636363636365,0.08666666666666667,0.08879120879120878,0.025,0.2352,0.25,0,0.6025065349728822,0.2058847893614241,20.59,Low,Sirajganj
Sunamganj,1980s,1,104,Tropical Storm,47.4,1,27.43,0.25,0,25.07,91.4,162.64771424666645,0.09090909090909091,0.19333333333333336,0.19648351648351647,0.025,0.2743,0.25,0,0.413693004520998,0.18215819156099092,18.22,Low,Sunamganj
Sylhet,1980s,1,110,Tropical Storm,22.9,4,18.9,0.25,0,24.899,91.872,179.82763831127104,0.09090909090909091,0.2333333333333334,0.08879120879120878,0.1,0.18899999999999997,0.25,0,0.3517633935976021,0.1685313843148052,16.85,Low,Sylhet
Tangail,1980s,3,99,Tropical Storm,25.5,1,14.42,0.25,0,24.25,89.9167,81.09414336217502,0.2727272727272727,0.16000000000000003,0.10021978021978023,0.025,0.1442,0.25,0,0.7076745666802706,0.20637951461008502,20.64,Low,Tangail
Thakurgaon,1980s,5,95,Tropical Storm,8.6,3,21.67,0.25,0,26.02,88.46,323.338542995847,0.4545454545454546,0.13333333333333341,0.025934065934065935,0.07500000000000001,0.2167,0.25,0,0.0,0.16249192807192808,16.25,Low,Thakurgaon
Bagerhat,1990s,3,187,Category 3,27.9,4,68.06,0.9,1,22.65,89.7667,18.216448569713435,0.2727272727272727,0.7466666666666668,0.11076923076923076,0.1,0.6806,0.9,1,0.9343339604944657,0.5310178715739221,53.1,High,Bagerhat
Bandarban,1990s,5,125,Category 1,17.3,6,60.57,0.5,0,22.194,92.218,23.505749307476048,0.4545454545454546,0.33333333333333337,0.06417582417582418,0.15000000000000002,0.6057,0.5,0,0.9152672675617919,0.377404918564371,37.74,Medium,Bandarban
Barguna,1990s,6,209,Category 4,35.0,7,6.32,0.9,1,22.15,90.13,0.9261178150548535,0.5454545454545454,0.8933333333333333,0.14197802197802198,0.17500000000000002,0.0632,0.9,1,0.9966615617310126,0.5543510412879864,55.44,High,Barguna
Barishal,1990s,5,188,Category 3,38.5,5,67.46,0.9,1,22.7,90.37,0.899381680381425,0.4545454545454546,0.7533333333333334,0.15736263736263736,0.125,0.6746,0.9,1,0.9967579392476824,0.575672007710982,57.57,High,Barishal
Bhola,1990s,10,176,Category 2,54.3,8,28.31,0.9,1,22.69,90.65,0.0,0.9090909090909092,0.6733333333333333,0.2268131868131868,0.2,0.28309999999999996,0.9,1,1.0,0.6146956143856144,61.47,High,Bhola
Bogura,1990s,2,98,Tropical Storm,2.7,0,20.76,0.25,0,24.85,89.37,169.40081656809386,0.18181818181818182,0.15333333333333332,0.0,0.0,0.2076,0.25,0,0.38934964900212676,0.14746769217293995,14.75,Low,Bogura
Brahmanbaria,1990s,2,138,Category 1,29.8,2,47.36,0.55,0,23.96,91.11,53.92480009450332,0.18181818181818182,0.42000000000000004,0.11912087912087913,0.05,0.4736,0.55,0,0.8056136990817746,0.32606222904903664,32.61,Medium,Brahmanbaria
Chandpur,1990s,3,187,Category 3,17.3,9,51.78,0.9,1,23.23,90.65,0.6753323067304762,0.2727272727272727,0.7466666666666668,0.06417582417582418,0.225,0.5178,0.9,1,0.9975655848743834,0.5328220230229028,53.28,High,Chandpur
Chapainawabganj,1990s,2,96,Tropical Storm,27.8,1,20.59,0.25,0,24.6,88.27,224.03568032443172,0.18181818181818182,0.14,0.11032967032967034,0.025,0.2059,0.25,0,0.19240373454062298,0.1459025512762401,14.59,Low,Chapainawabganj
Chattogram,1990s,8,215,Category 4,54.8,2,57.05,0.9,1,22.35,91.83,0.5135106554453361,0.7272727272727273,0.9333333333333333,0.22901098901098899,0.05,0.5705,0.9,1,0.9981489141059554,0.632807448853153,63.28,High,Chattogram
Chuadanga,1990s,2,118,Tropical Storm,4.7,1,13.37,0.25,0,23.63,88.83,133.27223260718276,0.18181818181818182,0.28666666666666674,0.008791208791208791,0.025,0.13369999999999999,0.25,0,0.5195847501293889,0.1781698836043475,17.82,Low,Chuadanga
Cox's Bazar,1990s,5,188,Category 3,38.3,2,43.03,0.9,1,21.4272,92.0058,0.8136577211409901,0.4545454545454546,0.7533333333333334,0.15648351648351647,0.05,0.4303,0.9,1,0.9970669540851526,0.5398910410628609,53.99,High,Cox's Bazar
Cumilla,1990s,2,148,Category 1,31.5,1,34.29,0.55,0,23.46,91.18,35.211924425253166,0.18181818181818182,0.4866666666666667,0.1265934065934066,0.025,0.3429,0.55,0,0.8730692422551091,0.3271086624872492,32.71,Medium,Cumilla
Dhaka,1990s,1,116,Tropical Storm,9.5,3,18.16,0.25,0,23.8103,90.4125,22.812268436942265,0.09090909090909091,0.27333333333333343,0.029890109890109887,0.07500000000000001,0.1816,0.25,0,0.9177671040181973,0.21780659052169987,21.78,Low,Dhaka
Dinajpur,1990s,1,118,Tropical Storm,19.4,3,2.68,0.25,0,25.625,88.65,277.4104956973714,0.09090909090909091,0.28666666666666674,0.07340659340659339,0.07500000000000001,0.0268,0.25,0,0.0,0.11907735264735264,11.91,Low,Dinajpur
Faridpur,1990s,1,104,Tropical Storm,43.3,0,9.1,0.25,0,23.607,89.8429,33.59870525010296,0.09090909090909091,0.19333333333333336,0.17846153846153845,0.0,0.091,0.25,0,0.8788845203364044,0.20389404643923487,20.39,Low,Faridpur
Feni,1990s,6,189,Category 3,38.7,5,44.45,0.9,1,23.02,91.4,4.339493225332895,0.5454545454545454,0.76,0.15824175824175823,0.125,0.4445,0.9,1,0.9843571411585419,0.5661901596702997,56.62,High,Feni
Gaibandha,1990s,2,131,Category 1,11.0,0,3.48,0.25,0,25.33,89.55,205.18064883903156,0.18181818181818182,0.3733333333333334,0.036483516483516484,0.0,0.0348,0.25,0,0.26037171620620936,0.15576242636587567,15.58,Low,Gaibandha
Gazipur,1990s,2,141,Category 1,18.3,2,17.31,0.6,1,24.0,90.4167,31.69305148840342,0.18181818181818182,0.44000000000000006,0.06857142857142856,0.05,0.17309999999999998,0.6,1,0.8857539567537577,0.3569438372338173,35.69,Medium,Gazipur
Gopalganj,1990s,3,146,Category 1,29.2,2,56.72,0.6,1,23.02,89.83,42.35917897743101,0.2727272727272727,0.4733333333333334,0.11648351648351649,0.05,0.5672,0.6,1,0.8473050600665057,0.41833212438826894,41.83,Medium,Gopalganj
Habiganj,1990s,1,116,Tropical Storm,26.3,0,23.85,0.25,0,24.38,91.42,102.01272186613583,0.09090909090909091,0.27333333333333343,0.10373626373626374,0.0,0.23850000000000002,0.25,0,0.6322679803095047,0.19477360122775372,19.48,Low,Habiganj
Jamalpur,1990s,0,116,Tropical Storm,8.7,2,7.56,0.25,0,24.923,89.9501,144.24911964095668,0.0,0.27333333333333343,0.02637362637362637,0.05,0.0756,0.25,0,0.48001563791472834,0.1455176077475168,14.55,Low,Jamalpur
Jashore,1990s,1,163,Category 2,8.5,0,26.91,0.6,1,23.17,89.2,85.72746216922243,0.09090909090909091,0.5866666666666667,0.025494505494505493,0.0,0.2691,0.6,1,0.6909725352902906,0.34146779298956853,34.15,Medium,Jashore
Jhalokathi,1990s,5,203,Category 3,42.7,3,41.33,0.9,1,22.64,90.19,9.64399316809603,0.4545454545454546,0.8533333333333335,0.17582417582417584,0.07500000000000001,0.4133,0.9,1,0.9652356586442328,0.5566590104198679,55.67,High,Jhalokathi
Jhenaidah,1990s,3,94,Tropical Storm,6.1,1,2.81,0.25,0,23.55,89.15,99.8654075414815,0.2727272727272727,0.1266666666666667,0.014945054945054943,0.025,0.0281,0.25,0,0.6400085465748736,0.17021170380833653,17.02,Low,Jhenaidah
Joypurhat,1990s,2,119,Category 1,6.0,1,10.78,0.25,0,25.1,89.02,210.057332512968,0.18181818181818182,0.29333333333333333,0.014505494505494505,0.025,0.10779999999999999,0.25,0,0.24279241135086438,0.1497577925836379,14.98,Low,Joypurhat
Khagrachhari,1990s,3,127,Category 1,15.3,1,43.59,0.5,0,23.1,91.98,44.09217167729194,0.2727272727272727,0.3466666666666667,0.055384615384615386,0.025,0.4359,0.5,0,0.8410580264223588,0.3076625858590191,30.77,Medium,Khagrachhari
Khulna,1990s,7,182,Category 3,66.0,5,31.98,0.9,1,22.8167,89.55,51.72991900542131,0.6363636363636364,0.7133333333333334,0.2782417582417583,0.125,0.31980000000000003,0.9,1,0.8135257324154967,0.5612733824323589,56.13,High,Khulna
Kishoreganj,1990s,2,100,Tropical Storm,8.5,4,45.18,0.25,0,24.44,90.77,83.86147523844551,0.18181818181818182,0.16666666666666674,0.025494505494505493,0.1,0.4518,0.25,0,0.6976989820531865,0.22354680130222176,22.35,Low,Kishoreganj
Kurigram,1990s,3,129,Category 1,18.3,3,21.71,0.25,0,25.81,89.65,252.48924287170357,0.2727272727272727,0.3600000000000001,0.06857142857142856,0.07500000000000001,0.21710000000000002,0.25,0,0.08983529178670502,0.1846383343734757,18.46,Low,Kurigram
Kushtia,1990s,2,110,Tropical Storm,18.6,2,20.99,0.25,0,23.9,89.12,114.10660835052775,0.18181818181818182,0.2333333333333334,0.06989010989010991,0.05,0.20989999999999998,0.25,0,0.5886723461429257,0.19761347837053633,19.76,Low,Kushtia
Lakshmipur,1990s,2,187,Category 3,71.8,2,32.96,0.9,1,22.95,90.83,4.291181844699926,0.18181818181818182,0.7466666666666668,0.3037362637362637,0.05,0.3296,0.9,1,0.984531292394282,0.508746296072595,50.87,High,Lakshmipur
Lalmonirhat,1990s,2,102,Tropical Storm,38.8,2,38.75,0.25,0,25.92,89.45,265.3815664489971,0.18181818181818182,0.18000000000000005,0.15868131868131866,0.05,0.3875,0.25,0,0.043361478512683016,0.1661610729261934,16.62,Low,Lalmonirhat
Madaripur,1990s,7,162,Category 2,19.9,0,6.75,0.6,1,23.17,90.19,15.313143071993538,0.6363636363636364,0.5800000000000001,0.07560439560439561,0.0,0.0675,0.6,1,0.9447996982468222,0.435025174619887,43.5,Medium,Madaripur
Magura,1990s,3,95,Tropical Storm,12.1,0,42.85,0.25,0,23.49,89.42,71.50195544167823,0.2727272727272727,0.13333333333333341,0.04131868131868131,0.0,0.4285,0.25,0,0.7422521622264786,0.22168210932954097,22.17,Low,Magura
Manikganj,1990s,1,102,Tropical Storm,9.6,2,10.09,0.25,0,23.86,90.0,38.02478568555899,0.09090909090909091,0.18000000000000005,0.03032967032967033,0.05,0.1009,0.25,0,0.862929534839805,0.1865687676697947,18.66,Low,Manikganj
Meherpur,1990s,5,109,Tropical Storm,11.5,1,5.02,0.25,0,23.77,88.63,148.09670694639158,0.4545454545454546,0.22666666666666668,0.03868131868131868,0.025,0.050199999999999995,0.25,0,0.4661459849451728,0.20086861447853327,20.09,Low,Meherpur
Moulvibazar,1990s,2,121,Category 1,18.1,0,35.59,0.25,0,24.48,91.77,137.64502113539567,0.18181818181818182,0.30666666666666675,0.06769230769230769,0.0,0.35590000000000005,0.25,0,0.5038218695028995,0.2068987603768634,20.69,Low,Moulvibazar
Munshiganj,1990s,2,132,Category 1,45.2,1,24.6,0.6,1,23.54,90.53,0.0,0.18181818181818182,0.38,0.18681318681318682,0.025,0.24600000000000002,0.6,1,1.0,0.3806447052947053,38.06,Medium,Munshiganj
Mymensingh,1990s,3,97,Tropical Storm,11.2,2,1.43,0.25,0,24.7434,90.3984,114.21111300471469,0.2727272727272727,0.14666666666666672,0.03736263736263736,0.05,0.0143,0.25,0,0.5882956312896387,0.17377304964245038,17.38,Low,Mymensingh
Naogaon,1990s,2,92,Tropical Storm,10.4,1,11.02,0.25,0,24.81,88.94,189.27093647553838,0.18181818181818182,0.1133333333333334,0.033846153846153845,0.025,0.11019999999999999,0.25,0,0.31772251082376113,0.13339190143202648,13.34,Low,Naogaon
Narail,1990s,0,99,Tropical Storm,25.4,5,33.03,0.25,0,23.18,89.5,70.05451022845219,0.0,0.16000000000000003,0.09978021978021978,0.125,0.33030000000000004,0.25,0,0.7474698639200911,0.20299401935904207,20.3,Low,Narail
Narayanganj,1990s,3,134,Category 1,56.3,6,25.87,0.6,1,23.6226,90.501,3.3828178991013105,0.2727272727272727,0.3933333333333334,0.23560439560439558,0.15000000000000002,0.2587,0.6,1,0.9878057321133529,0.4224003234610856,42.24,Medium,Narayanganj
Narsingdi,1990s,0,107,Tropical Storm,14.1,1,11.83,0.25,0,23.9207,90.7188,26.18641527044252,0.0,0.21333333333333337,0.05010989010989011,0.025,0.1183,0.25,0,0.9056040932964216,0.18315689284612569,18.32,Low,Narsingdi
Natore,1990s,1,114,Tropical Storm,7.4,0,10.46,0.25,0,24.42,89.0,155.1596382078644,0.09090909090909091,0.26,0.020659340659340657,0.0,0.10460000000000001,0.25,0,0.4406857685113368,0.1477638415863984,14.78,Low,Natore
Netrokona,1990s,2,103,Tropical Storm,15.2,0,43.25,0.25,0,24.88,90.73,128.35689341795188,0.18181818181818182,0.18666666666666676,0.05494505494505494,0.0,0.4325,0.25,0,0.5373033990827185,0.1979948254227574,19.8,Low,Netrokona
Nilphamari,1990s,2,98,Tropical Storm,8.0,0,21.8,0.25,0,25.95,88.85,294.2392506393151,0.18181818181818182,0.15333333333333332,0.023296703296703296,0.0,0.218,0.25,0,0.0,0.11306723276723277,11.31,Low,Nilphamari
Noakhali,1990s,2,184,Category 3,26.2,1,12.34,0.9,1,22.82,91.1,3.4856477682025,0.18181818181818182,0.7266666666666668,0.10329670329670329,0.025,0.1234,0.9,1,0.9874350544688655,0.4516007382141193,45.16,Medium,Noakhali
Pabna,1990s,1,110,Tropical Storm,9.6,0,34.61,0.25,0,24.0064,89.2493,104.88417821369146,0.09090909090909091,0.2333333333333334,0.03032967032967033,0.0,0.3461,0.25,0,0.6219170512996373,0.18748751931577792,18.75,Low,Pabna
Panchagarh,1990s,2,125,Category 1,21.3,0,28.12,0.25,0,26.33,88.56,344.84409227917126,0.18181818181818182,0.33333333333333337,0.08175824175824176,0.0,0.2812,0.25,0,0.0,0.15515646353646353,15.52,Low,Panchagarh
Patuakhali,1990s,6,194,Category 3,230.2,1,50.01,0.9,1,22.35,90.3,2.1604315335758786,0.5454545454545454,0.7933333333333334,0.9999999999999999,0.025,0.5001,0.9,1,0.9922121492622518,0.6887993967444069,68.88,High,Patuakhali
Pirojpur,1990s,3,183,Category 3,14.9,1,30.48,0.9,1,22.58,89.98,2.5668801960927214,0.2727272727272727,0.72,0.05362637362637363,0.025,0.3048,0.9,1,0.9907469968299507,0.4752577466360421,47.53,Medium,Pirojpur
Rajbari,1990s,7,157,Category 2,18.6,0,42.05,0.6,1,23.72,89.65,53.227720010614995,0.6363636363636364,0.5466666666666666,0.06989010989010991,0.0,0.4205,0.6,1,0.808126509861107,0.45080071292417256,45.08,Medium,Rajbari
Rajshahi,1990s,1,104,Tropical Storm,23.3,1,21.42,0.25,0,24.3745,88.6042,191.61681259532386,0.09090909090909091,0.19333333333333336,0.09054945054945054,0.025,0.21420000000000003,0.25,0,0.3092661756952424,0.14981539878830546,14.98,Low,Rajshahi
Rangamati,1990s,3,133,Category 1,5.3,0,20.75,0.5,0,22.65,92.17,23.00520212531517,0.2727272727272727,0.3866666666666667,0.011428571428571427,0.0,0.2075,0.5,0,0.9170716231644975,0.2880805389398264,28.81,Medium,Rangamati
Rangpur,1990s,1,101,Tropical Storm,9.7,3,35.73,0.25,0,25.7449,89.2756,254.71903611590815,0.09090909090909091,0.17333333333333334,0.030769230769230764,0.07500000000000001,0.35729999999999995,0.25,0,0.08179740829351134,0.13691148908109937,13.69,Low,Rangpur
Satkhira,1990s,7,201,Category 3,42.7,2,20.45,0.9,1,22.7234,89.0751,49.7815374736277,0.6363636363636364,0.8400000000000001,0.17582417582417584,0.05,0.2045,0.9,1,0.8205491924576112,0.542833091073933,54.28,High,Satkhira
Shariatpur,1990s,5,139,Category 1,33.7,2,37.06,0.6,1,23.22,90.35,5.633963162020451,0.4545454545454546,0.42666666666666675,0.13626373626373628,0.05,0.37060000000000004,0.6,1,0.9796908795831338,0.43515046657969203,43.52,Medium,Shariatpur
Sherpur,1990s,0,92,Tropical Storm,15.0,0,23.95,0.25,0,25.0188,90.0175,152.90685141280642,0.0,0.1133333333333334,0.05406593406593407,0.0,0.2395,0.25,0,0.44880653838125384,0.13144054394801552,13.14,Low,Sherpur
Sirajganj,1990s,3,78,Tropical Storm,13.7,6,22.91,0.25,0,24.45,89.71,110.26885916963853,0.2727272727272727,0.020000000000000018,0.048351648351648346,0.15000000000000002,0.2291,0.25,0,0.6025065349728822,0.19432249165912638,19.43,Low,Sirajganj
Sunamganj,1990s,1,120,Category 1,20.2,1,69.83,0.25,0,25.07,91.4,162.64771424666645,0.09090909090909091,0.30000000000000004,0.07692307692307693,0.025,0.6983,0.25,0,0.413693004520998,0.222624125626925,22.26,Low,Sunamganj
Sylhet,1990s,2,108,Tropical Storm,14.9,0,35.82,0.25,0,24.899,91.872,179.82763831127104,0.18181818181818182,0.22000000000000008,0.05362637362637363,0.0,0.3582,0.25,0,0.3517633935976021,0.17681302267644355,17.68,Low,Sylhet
Tangail,1990s,0,102,Tropical Storm,12.3,4,1.46,0.25,0,24.25,89.9167,81.09414336217502,0.0,0.18000000000000005,0.0421978021978022,0.1,0.0146,0.25,0,0.7076745666802706,0.15805712699769742,15.81,Low,Tangail
Thakurgaon,1990s,1,121,Category 1,12.7,2,9.16,0.25,0,26.02,88.46,323.338542995847,0.09090909090909091,0.30666666666666675,0.04395604395604395,0.05,0.0916,0.25,0,0.0,0.12038977022977024,12.04,Low,Thakurgaon
Bagerhat,2000s,10,205,Category 3,118.0,6,60.08,0.9,1,22.65,89.7667,18.216448569713435,0.9090909090909092,0.8666666666666667,0.5068131868131869,0.15000000000000002,0.6008,0.9,1,0.9343339604944657,0.703399010435061,70.34,High,Bagerhat
Bandarban,2000s,2,133,Category 1,12.2,1,28.39,0.5,0,22.194,92.218,23.505749307476048,0.18181818181818182,0.3866666666666667,0.041758241758241756,0.025,0.2839,0.5,0,0.9152672675617919,0.29020319029264274,29.02,Medium,Bandarban
Barguna,2000s,4,199,Category 3,197.0,8,51.9,0.9,1,22.15,90.13,0.9261178150548535,0.36363636363636365,0.8266666666666667,0.8540659340659341,0.2,0.519,0.9,1,0.9966615617310126,0.673221500828446,67.32,High,Barguna
Barishal,2000s,5,185,Category 3,20.0,6,42.86,0.9,1,22.7,90.37,0.899381680381425,0.4545454545454546,0.7333333333333334,0.07604395604395603,0.15000000000000002,0.4286,0.9,1,0.9967579392476824,0.5396242055131798,53.96,High,Barishal
Bhola,2000s,4,187,Category 3,25.8,1,72.67,0.9,1,22.69,90.65,0.0,0.36363636363636365,0.7466666666666668,0.10153846153846155,0.025,0.7267,0.9,1,1.0,0.5431962237762238,54.32,High,Bhola
Bogura,2000s,2,118,Tropical Storm,13.4,2,9.85,0.25,0,24.85,89.37,169.40081656809386,0.18181818181818182,0.28666666666666674,0.047032967032967034,0.05,0.09849999999999999,0.25,0,0.38934964900212676,0.171112637227885,17.11,Low,Bogura
Brahmanbaria,2000s,2,154,Category 2,29.8,1,34.35,0.55,0,23.96,91.11,53.92480009450332,0.18181818181818182,0.5266666666666668,0.11912087912087913,0.025,0.3435,0.55,0,0.8056136990817746,0.32530222904903666,32.53,Medium,Brahmanbaria
Chandpur,2000s,5,187,Category 3,12.8,9,47.42,0.9,1,23.23,90.65,0.6753323067304762,0.4545454545454546,0.7466666666666668,0.044395604395604395,0.225,0.4742,0.9,1,0.9975655848743834,0.5527677173285972,55.28,High,Chandpur
Chapainawabganj,2000s,2,82,Tropical Storm,19.0,2,18.57,0.25,0,24.6,88.27,224.03568032443172,0.18181818181818182,0.046666666666666745,0.07164835164835165,0.05,0.1857,0.25,0,0.19240373454062298,0.1278303534740423,12.78,Low,Chapainawabganj
Chattogram,2000s,8,214,Category 4,21.3,1,57.64,0.9,1,22.35,91.83,0.5135106554453361,0.7272727272727273,0.9266666666666667,0.08175824175824176,0.025,0.5764,0.9,1,0.9981489141059554,0.6065595367652409,60.66,High,Chattogram
Chuadanga,2000s,4,84,Tropical Storm,4.2,2,43.96,0.25,0,23.63,88.83,133.27223260718276,0.36363636363636365,0.06000000000000005,0.006593406593406594,0.05,0.4396,0.25,0,0.5195847501293889,0.20545294054740443,20.55,Low,Chuadanga
Cox's Bazar,2000s,4,187,Category 3,117.5,1,35.66,0.9,1,21.4272,92.0058,0.8136577211409901,0.36363636363636365,0.7466666666666668,0.5046153846153847,0.025,0.3566,0.9,1,0.9970669540851526,0.5663544576462775,56.64,High,Cox's Bazar
Cumilla,2000s,6,134,Category 1,10.3,4,62.52,0.55,0,23.46,91.18,35.211924425253166,0.5454545454545454,0.3933333333333334,0.03340659340659341,0.1,0.6252,0.55,0,0.8730692422551091,0.39315609505468174,39.32,Medium,Cumilla
Dhaka,2000s,1,104,Tropical Storm,19.3,0,4.72,0.25,0,23.8103,90.4125,22.812268436942265,0.09090909090909091,0.19333333333333336,0.07296703296703297,0.0,0.0472,0.25,0,0.9177671040181973,0.1875781289832383,18.76,Low,Dhaka
Dinajpur,2000s,1,108,Tropical Storm,6.9,4,38.42,0.25,0,25.625,88.65,277.4104956973714,0.09090909090909091,0.22000000000000008,0.018461538461538463,0.1,0.38420000000000004,0.25,0,0.0,0.14032559440559442,14.03,Low,Dinajpur
Faridpur,2000s,0,111,Tropical Storm,27.1,1,25.95,0.25,0,23.607,89.8429,33.59870525010296,0.0,0.2400000000000001,0.10725274725274725,0.025,0.2595,0.25,0,0.8788845203364044,0.20717636412155255,20.72,Low,Faridpur
Feni,2000s,5,190,Category 3,60.6,1,49.87,0.9,1,23.02,91.4,4.339493225332895,0.4545454545454546,0.7666666666666668,0.25450549450549453,0.025,0.4987,0.9,1,0.9843571411585419,0.5584133564734967,55.84,High,Feni
Gaibandha,2000s,2,106,Tropical Storm,53.2,0,16.33,0.25,0,25.33,89.55,205.18064883903156,0.18181818181818182,0.20666666666666667,0.221978021978022,0.0,0.16329999999999997,0.25,0,0.26037171620620936,0.1714366021900515,17.14,Low,Gaibandha
Gazipur,2000s,5,126,Category 1,22.7,2,47.8,0.6,1,24.0,90.4167,31.69305148840342,0.4545454545454546,0.3400000000000001,0.0879120879120879,0.05,0.478,0.6,1,0.8857539567537577,0.41624402704400715,41.62,Medium,Gazipur
Gopalganj,2000s,6,151,Category 1,37.4,5,19.88,0.6,1,23.02,89.83,42.35917897743101,0.5454545454545454,0.5066666666666668,0.1525274725274725,0.125,0.19879999999999998,0.6,1,0.8473050600665057,0.4440578087039533,44.41,Medium,Gopalganj
Habiganj,2000s,1,113,Tropical Storm,16.1,3,25.93,0.25,0,24.38,91.42,102.01272186613583,0.09090909090909091,0.2533333333333334,0.05890109890109891,0.07500000000000001,0.2593,0.25,0,0.6322679803095047,0.19837832650247894,19.84,Low,Habiganj
Jamalpur,2000s,1,115,Tropical Storm,3.7,1,25.88,0.25,0,24.923,89.9501,144.24911964095668,0.09090909090909091,0.2666666666666667,0.004395604395604394,0.025,0.2588,0.25,0,0.48001563791472834,0.16942726808717712,16.94,Low,Jamalpur
Jashore,2000s,6,146,Category 1,19.1,1,58.95,0.6,1,23.17,89.2,85.72746216922243,0.5454545454545454,0.4733333333333334,0.0720879120879121,0.025,0.5895,0.6,1,0.6909725352902906,0.4354286221603977,43.54,Medium,Jashore
Jhalokathi,2000s,10,188,Category 3,56.7,8,48.65,0.9,1,22.64,90.19,9.64399316809603,0.9090909090909092,0.7533333333333334,0.23736263736263738,0.2,0.4865,0.9,1,0.9652356586442328,0.6451415978324553,64.51,High,Jhalokathi
